tweet_id,author_id,company,inbound,created_at,tweet_text_raw,sentiment_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment,sentiment_score
2919270,807995,SpotifyCares,True,2017-11-28 21:24:55+0000,@115888 what's up with the app? https://t.co/Thc7mCGkHt,@user what's up with the app? http,0.22004857659339905,0.766555905342102,0.01339556835591793,Neutral,-0.20665300823748112
1338345,432172,VirginTrains,True,2017-10-27 14:28:34+0000,Affected by an incident on my travels today. Exemplary service and management of the situation by @115793 @VirginTrains @120893 thank you,Affected by an incident on my travels today. Exemplary service and management of the situation by @user @user @user thank you,0.22712500393390656,0.4010697603225708,0.37180525064468384,Neutral,0.14468024671077728
2009692,594267,AppleSupport,True,2017-11-04 15:46:27+0000,"This @115858 update some BS. Every time I text, my message closes out &amp; I have to keep restarting my message","This @user update some BS. Every time I text, my message closes out &amp; I have to keep restarting my message",0.9022749662399292,0.0902344211935997,0.007490708492696285,Negative,-0.8947842577472329
249713,175352,SpotifyCares,True,2017-11-25 00:37:28+0000,@SpotifyCares DMed you about a username issue :),@user DMed you about a username issue :),0.01476480532437563,0.6485950946807861,0.33664005994796753,Neutral,0.3218752546235919
1841239,551783,SpotifyCares,True,2017-10-18 01:21:41+0000,@SpotifyCares 🤔What about previous songs I've played from the discover weekly playlist?,@user 🤔What about previous songs I've played from the discover weekly playlist?,0.011972260661423206,0.9595531821250916,0.02847450040280819,Neutral,0.016502239741384983
960125,347820,AmazonHelp,True,2017-10-14 02:45:33+0000,amazonプライム会員退会するの忘れてて謎に4千円持っていかれた。笑,amazonプライム会員退会するの忘れてて謎に4千円持っていかれた。笑,0.0813656598329544,0.8181092143058777,0.10052512586116791,Neutral,0.0191594660282135
2982084,822481,SpotifyCares,True,2017-11-30 04:52:43+0000,@115888 why am I paying y’all money if y’all are just gonna keep playing the same two albums I recently downloaded even though I have my thing on shuffle,@user why am I paying y’all money if y’all are just gonna keep playing the same two albums I recently downloaded even though I have my thing on shuffle,0.8052241802215576,0.18351291120052338,0.011262888088822365,Negative,-0.7939612921327353
1383554,292113,VirginTrains,True,2017-10-28 08:12:31+0000,But he's broken his foot. I paid £30 for 2 tickets. 1 ticket was around £22 so we're hardly trying to cheat you @VirginTrains no leeway? https://t.co/ddegsrlKln,But he's broken his foot. I paid £30 for 2 tickets. 1 ticket was around £22 so we're hardly trying to cheat you @user no leeway? http,0.8257517218589783,0.16430222988128662,0.0099460044875741,Negative,-0.8158057173714042
942810,343508,Delta,True,2017-10-13 23:07:27+0000,⚡️ “Now Boarding: Free Messaging” by @Delta https://t.co/RVTVTxi9pw,⚡️ “Now Boarding: Free Messaging” by @user http,0.0036254755686968565,0.8476958870887756,0.14867857098579407,Neutral,0.1450530954170972
1916477,570831,TMobileHelp,True,2017-10-26 05:15:37+0000,@TMobileHelp and @115911 has awesome customer service! Never had a better experience. :),@user and @user has awesome customer service! Never had a better experience. :),0.004133183509111404,0.008940200321376324,0.9869266152381897,Positive,0.9827934317290783
2811129,783921,AmazonHelp,True,2017-11-22 07:40:01+0000,@116875 hola buenas noches el día de hoy cheque mi correo y tengo un cargo por parte de ustedes hay algún correo o teléfono al cual me pueda comunicar y me aclaren las cosas. Gracias,@user hola buenas noches el día de hoy cheque mi correo y tengo un cargo por parte de ustedes hay algún correo o teléfono al cual me pueda comunicar y me aclaren las cosas. Gracias,0.011141682974994183,0.47018852829933167,0.5186697840690613,Positive,0.5075281010940671
2052613,187451,Delta,True,2017-10-18 23:38:54+0000,Off to SEATTLE to see Grandpa one last time. Super sad face @delta #delta @187451… https://t.co/HJY2MHC4AG,Off to SEATTLE to see Grandpa one last time. Super sad face @user #delta @user… http,0.8155325055122375,0.16306285560131073,0.021404577419161797,Negative,-0.7941279280930758
1608079,493845,AmazonHelp,True,2017-11-05 09:09:55+0000,where the hell is package 2day 5Nov? @AmazonHelp @12295 @115850 alrdy tweeted bfore no action taken I want refund so bad experience https://t.co/1hg9FoUxd6,where the hell is package 2day 5Nov? @user @user @user alrdy tweeted bfore no action taken I want refund so bad experience http,0.9214698076248169,0.07301262021064758,0.005517496727406979,Negative,-0.9159523108974099
1817967,214576,AmericanAir,True,2017-10-16 13:08:13+0000,@AmericanAir I was supposed to be at my destination by now. Unless your pilots have a Delorean and a flux capacitor then I call B.S.,@user I was supposed to be at my destination by now. Unless your pilots have a Delorean and a flux capacitor then I call B.S.,0.7334260940551758,0.2468968629837036,0.01967703364789486,Negative,-0.7137490604072809
2110351,622554,comcastcares,True,2017-11-08 04:41:50+0000,Help @115900 @131187 I can’t watch @622339 whhhyyyyyy? I need it.,Help @user @user I can’t watch @user whhhyyyyyy? I need it.,0.6760750412940979,0.304180383682251,0.019744612276554108,Negative,-0.6563304290175438
2724623,764188,Uber_Support,True,2017-11-20 12:19:22+0000,@Uber_Support please see the attachment https://t.co/52pnYF0dqL,@user please see the attachment http,0.04745793342590332,0.9113752841949463,0.0411667563021183,Neutral,-0.006291177123785019
540521,245405,SouthwestAir,True,2017-12-02 14:53:08+0000,"Hockey weekend continues....At CMH, waiting to board our @SouthwestAir flight. Off to DC for tonight's @15636 @245406 game.","Hockey weekend continues....At CMH, waiting to board our @user flight. Off to DC for tonight's @user @user game.",0.0028274226933717728,0.6299102306365967,0.3672623336315155,Neutral,0.36443491093814373
2511231,715782,Uber_Support,True,2017-10-30 04:53:01+0000,"And now my @115873 driver has stopped ""4 breakfast."" I'm pacing back &amp; forth by the car. I'm so late! Couldn't he hv eaten b4 leaving?!","And now my @user driver has stopped ""4 breakfast."" I'm pacing back &amp; forth by the car. I'm so late! Couldn't he hv eaten b4 leaving?!",0.8718228340148926,0.1168561726808548,0.011321053840219975,Negative,-0.8605017801746726
1043539,366770,SpotifyCares,True,2017-11-15 17:21:39+0000,@SpotifyCares It's happening over both WiFi and 3G/4G. Restarting my device hasn't resolved the issue either. I just tried it and the problem still consists.,@user It's happening over both WiFi and 3G/4G. Restarting my device hasn't resolved the issue either. I just tried it and the problem still consists.,0.8391487002372742,0.1528157889842987,0.008035493083298206,Negative,-0.831113207153976
2825203,270295,SpotifyCares,True,2017-11-26 19:56:46+0000,@SpotifyCares can you answer my email I sent to Spotify for artist support,@user can you answer my email I sent to Spotify for artist support,0.15138253569602966,0.7934036254882812,0.05521389842033386,Neutral,-0.0961686372756958
2063594,610312,VirginTrains,True,2017-11-21 09:10:50+0000,"@VirginTrains i’ve had success testing other dates, in jan for example, but i need these dates ☹️","@user i’ve had success testing other dates, in jan for example, but i need these dates ☹️",0.5663920640945435,0.364309698343277,0.06929824501276016,Negative,-0.4970938190817833
1858940,555825,TMobileHelp,True,2017-10-19 15:04:32+0000,@555827 @329300 @115913 Same. Maybe he doesn't understand this now shows up in feed of everyone who follows him? I've had same struggles in NYC. Network = trash.,@user @user @user Same. Maybe he doesn't understand this now shows up in feed of everyone who follows him? I've had same struggles in NYC. Network = trash.,0.9228514432907104,0.07216983288526535,0.004978701937943697,Negative,-0.9178727413527668
632146,269835,Delta,True,2017-11-22 15:53:17+0000,@Delta I’m taking my cousin on her first trip ever to NYC. How do I sign her up for a sky miles account AFTER the flight was booked? Is this possible?,@user I’m taking my cousin on her first trip ever to NYC. How do I sign her up for a sky miles account AFTER the flight was booked? Is this possible?,0.008926314301788807,0.8464275002479553,0.14464612305164337,Neutral,0.13571980874985456
803713,311539,VirginTrains,True,2017-10-12 16:51:44+0000,Got to love the arsehole in B38 of the Quiet coach on @VirginTrains 15:30 KGX to Glasgow. Only thing louder than his typing is his phone,Got to love the arsehole in B38 of the Quiet coach on @user 15:30 KGX to Glasgow. Only thing louder than his typing is his phone,0.7977634072303772,0.166215181350708,0.036021385341882706,Negative,-0.7617420218884945
2344033,677898,Uber_Support,True,2017-11-26 16:45:22+0000,"@115873 schedule option is not visible , help me to book my ride 27th 1:30 am to Pune Airport #UberIndia https://t.co/3W6r0A6uiO","@user schedule option is not visible , help me to book my ride 27th 1:30 am to Pune Airport #UberIndia http",0.5457030534744263,0.43817824125289917,0.016118725761771202,Negative,-0.5295843277126551
1359530,436957,SpotifyCares,True,2017-10-27 19:59:46+0000,"@SpotifyCares Ok I have the info. It's no been classified in the UK. It's out today, and advertised on Spotify for release today.","@user Ok I have the info. It's no been classified in the UK. It's out today, and advertised on Spotify for release today.",0.005926732439547777,0.7736775875091553,0.22039565443992615,Neutral,0.21446892200037837
